Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
565999,B000EHNCZ4,A1J4XE3K8HHSQR,"P. Kemp ""classical fan""",2,2,5,1262736000,scrumptious kashi treat,"These are scrumptious bars.  I love almost all Kashi products, and this is no exception.  It's one of my three favorites, in fact.  Enjoy!"
566000,B000EHNCZ4,A10LZHOJ0910QE,Samson,2,2,3,1251763200,Hit and miss,"I love these bars - that's why when I get a stale pack, I am so upset.  It's not even passed it's ""best by"" date - but it's close Oct. 29, 2009.<br /><br />If they are good, the center is airy and easy to chew.  If they are bad, they are just WRONG!  Stale tasting peanuts - hard chewy center.  Last year, I bit into one and chipped a tooth because it got my teeth out of alignment as I bit through it.<br /><br />I can't really blame it Amazon selling old boxes.  It seems like every other box is this way and the manufacturer needs to rethink their ""best by"" date."
566001,B000EHNCZ4,A2Y8IDC1FKGNJC,L. A.,2,2,5,1205625600,I love these~better than candy!,"These are so good. I love the crunchy peanuts on the outside and the chocolaty nougat on the inside. it is like a candy bar, but better because it is healthy, full of protein, not too sweet, and there is no gross aftertaste. This makes a perfect meal on the go. I always have one in my purse for those days when I have no time in between clients to stop for a meal. This fills me up until I can get to my next meal. It keeps me away from fast food garbage stops."
566002,B000EHNCZ4,A2RWADO69FZESK,MAU,1,1,1,1243382400,What happened?,"Every Kashi product I have purchased has always been great.  I don't know if these were stale or what, but they tasted awful, like stale peanuts and no flavor.  In addition, the center was so chewy that my jaw hurt after eating one.  I gave it one star because if you really need something when you are out hiking in the middle of nowhere, it was filling.  I think the 2 worst things about this were 1) all other Kashi bars I have tried are really yummy, and 2)it LOOKS like it would taste great. I would recommend the chocolate almond bars instead."
566003,B000EHNCZ4,A10AGFN93JCNHQ,Livi Marin D.,1,1,3,1220313600,Mixed feelings about this product,"Fiber snack.<br /><br />I have mixed feelings about this roll.  While it is tasty, it is messy, too.  Unlike other bars Kashi puts out, this one loses it's form.  Most bars retain their shape.  This one gets sticky, so have a napkin and/or  water handy. It does curb your appetite and gives you the benefits of fiber . . . all pluses."
566004,B000EHNCZ4,A4EWXIC8SJSFF,Roxanne G,1,1,4,1210377600,Roxanne G,"Quick, easy on the go cereal bar. A little messy to get the wrapper off, but very tasty. Would recommend!"
566005,B000EHNCZ4,A3UBMZLFDHN98M,Christe A. Harwood,1,1,5,1201392000,Great bars,"Love these bars!  For 120-130 calories, you think you're eating a candy bar!  Way to go Kashi!"
566006,B000EHNCZ4,A2JEV6CE0XVA5C,"Stacy VB ""mother, scholar, online shopper ext...",2,3,5,1170115200,"tasty, filling, and very healthy!","This is my favorite meal replacement bar.  It is lower calorie and a lot lower sugar (and not so sickly sweet) as a lot of the bars out there and has very high fiber and protein content.  It is very chewy, which, contrary to other reviewers of this bar, I find to be one of its strong points.  You have to bite, chew, and it eat slowly, which contributes to overall satisfaction.  The combination of crunchy and chewy is interesting.  And there is a lot of flavor here.  It won't be like eating a candy bar, but it is better, in my opinion, than eating any of its sweeter cousins.  The caramel peanut roll, not so far available on Amazon, is also very good."
566007,B000EHNCZ4,A1G6SB0FDFG9TB,Lesley K,2,3,5,1169164800,Excellent For On The Go,"In my job - I don't have much time to sit down for lunch, and frequently am on the road during lunch time.  I grab one of these rolls in the morning and can eat it for lunch.  It is extremely filling, considering the lower calorie content than most other meal replacement bars.  Also - tastes better than many of the other bars I have tried.  It is chewy and crunchy at the same time!"
566008,B000EHNCZ4,A15ZHWCP3C6Z7E,zoe,2,3,1,1168646400,Yuk,"I only made it 1/3 of the way through the Kashi Chocolate Peanut Roll. I enjoy eating other brand 'energy' and 'protein' bars (all of which have at least HALF the amount of sugar that this bar has) and hoped that this one would be tasty. It was extremely stiff to bite into, and much of the outer coating of rice fell off as I was trying to lever a bite from the roll. The dry aftertaste is like stale unsalted peanuts and with no hint of chocolate."
