Stars,Description
5.0,"March 2024 update: Most software kinks worked out at this point, phone still feels fantastic to use. Definitely not the best battery life or most efficient processor, however it's still very fast and usable for everything, gaming included. Cameras really are spectacular - everyone I talk to loves the pictures I take with this phone. Good image processing too. List of pixel exclusive features keeps growing, definitely worth it for those.Idk what other people are doing when they are having issues getting their carrier to register on their phone - for me it took about 5 seconds during the setup process after transferring my SIM from my pixel 6 to the 8 pro, and it was all set.Phone is less of a toaster than my pixel 6, better cameras, feels faster - ill get back to this in a moment - better screen, lots of really cool software features that are worth spending the time to learn about.Does it actually feel faster? 100% yes - however you should remember that this is a brand new phone, and depending on what data you transfer over, it's going to take some time to ""relearn"" or recache your habits and such, so certain things are gonna load a little slow at first, but speed up a lot over time - this is expected behavior. Also keep in mind since it's still new, there are some bugs here and there that software updates will work out over time. I noticed a couple, nothing that majorly impacts my usage though.Overall, fantastic phone, really easy setup - esp if you had a pixel prior - I really like the shade of blue they used as well for the pro, good case choice can compliment it quite nicely. I do kind of wish the titanium was less shiny, but its not a big deal for me."
5.0,"OMG, the Pixel 8 Pro is, like, the coolest phone ever! 😍 I've had it for a few weeks now, and it's seriously lit. Here are some of the reasons why I'm totally loving it:Camera Game Strong 📸: The camera on this phone is next level. The pics I take with it are so clear and vibrant. Selfies, group pics, and even low-light shots look awesome. It's basically a mini photographer in my pocket.Speedy Gonzales ⚡: This phone is, like, super fast. Apps open in a snap, and I can play all my fave games without any lag. It's like having a little gaming console right in my hands.Gorgeous Display 📱: The screen is, like, amazing! It's big and bright, and watching videos or playing games is a total blast. The colors are so vibrant, and it's, like, perfect for binge-watching Netflix.Battery for Days 🕒: The battery life is, like, epic. I use my phone all day, and it still has juice left when I go to bed. No more worrying about it dying on me.5G for Speed Freaks 📶: With 5G, I can, like, download stuff crazy fast and stream without any buffering. It's like the internet is on turbo mode.Android All the Way 🤖: I'm a big fan of Android, and this phone runs the latest version, so I get all the cool features and updates. Customization options are on fleek.Sleek Design 😎: The phone looks super sleek and modern. It's got a premium feel, and it's, like, total eye candy.Water-Resistant 💦: I'm not saying I've dropped it in the toilet, but if I did, it's nice to know it can handle a little splash.So, like, if you want a phone that's top-notch in pretty much everything, the Pixel 8 Pro is, like, totally the way to go. I'm in love with mine, and I'm pretty sure you will be too! 😄👍 #Pixel8ProRocks"
5.0,"I had a pixel 3, which I loved. I ended up upgraded to the pixel 6 when it released. I swapped from pixel 6 to a galaxy s22 ultra after about a year because of all the bugs, which were mostly minor at that point. After using the s22 ultra for just under a year, I was really missing my pixel 6 despite all the bugs it had at launch and the minor ones it still has when I upgraded. Decided to get a pixel 8 and I'm very happy I did. The galaxy s22 ultra was an amazing phone, but I just didn't make use of all of its features and the pixel layout is more favorable in my opinion. Phone runs great, no lagging, no bugs that I can think of. The AI stuff is cool, display is amazing, battery life is great, cameras are amazing, and the phone feels awesome. One of the biggest improvements I immediately noticed over the pixel 6 was the fingerprint reader. Overall, my favorite phone I've owned."
4.0,"I upgraded from S22 ultraI feel this phone is smooth, camera is phenomenal and the HDR and night boost is amazing. It does take time to upload and process the videos but it's been great so far.The camera AI features are nice to have. Its hard to take good family pictures when going out sometimes so the face edit is neat , the only downside it works for 5 people at max. The AI size adjustments and moving stuff is nice but need to be precise so when moving objects, AI can properly fill the place behind itI've encountered some freezes at first but it stopped after the latest update.Battery is good, i never ran out of battery but i never tried going a full day out where i might need to charge, I also got a power bank that I can attach to the back of the phone with the magsafe case i got from dbrand , thats why i didn't complain about the battery. I only used the power bank when i forget to charge my phone at night.Screen brightness is really bright. At night it can be a flashbang if you're in your room with lights out, becareful of the auto brightness.AI features like summarize and call screening only works in the US? I ordered it to a frieght forwarder and shipped it overseas. The summarize and call screening doesnt work. Car keys and google VPN doesn't work either.Google gimini got introduced in a recent update, its the google version of chat GPT. It works well but sometimes it glitches out for example, I asked gimini "" show me the bullet train ticket prices from tokyo to kyoto "" . It showed me prices in JPY and I asked to convert to my local currency and he did, tried that again few days later and gmini apologize and said he can't do it.You can't have google assistant and gimini at the same time  when using shortcuts or the "" hey google "" . Sometimes im driving and i want to play a certain song but then i remember i have the gimini enabled and not assistant so i can't tell him to play the song because gimini answers questions and tasks are assistant's job.One con that really annoys me is the Bluetooth. Its weird. When i connect the phone to my car, sometimes it doesn't play the audio or the lag between audio and video is big, never had that in my s22 ultra. Also when playing music , my car screen always shows the song duration and name when using the S22 but on the pixel , it only shows the song title and no duration. Also there is a lag when displaying the song title.There is one tiny thing that i really liked is gesture control. You can double tap the back side of the phone to take screenshot or do a specific task, really cool. And the song auto detection is always welcomed. I once was watching a movie at home , the character was inCafe and the cafe had background music. The phone detected it and i was surprised.Thats is all what i can think of as of right now"
5.0,"This is my third Pixel phone. The first was the Pixel 2 XL, which was the largest at the time. I liked it, and it had a nice fingerprint reader on the back that always worked, and was easy to use. Plus it didn't get fingerprints on the screen. But after a few years, the battery was getting weak, and there were no updates. Plus, it didn't fully support the modern carriers.The Pixel 6 kind of sucked because the antenna wasn't very good, so it didn't always pick up a signal. The fingerprint reader was on the front screen, and worked OK, but not perfect. It had a slightly bigger screen, but the phone was about the same size as the 2 XL, and it was usable.Then my son bought me this Pixel 8 Pro. I was surprised that it was almost the same size as my Pixel 6. The antenna was much better and seems to get strong signal everywhere so far. But best of all, it has face recognition, which works pretty well, as long as there's enough light, and I'm not wearing sunglasses or a mask. But the fingerprint reader seems to work very well for me, too, when needed, although some people complain (surprise!). I have a Spigen glass screen protector on it, and it doesn't seem to adversely affect it."
1.0,"It pains me to criticize what is probably a very good phone, but I've pretty much reached my limit with products that are sold with absolutely no regard for the consumer.This cell phone is boxed with no charging cable (only a data transfer cable) and no Instruction or User manual.  To shell out $1,000 for a phone that you cannot charge or find out how to use without purchasing additional items or going on YouTube to watch a video is near criminal, in my opinion.  There is not even a diagram that shows where the power on/off button is located, where to insert the SIM card, where the volume control button is, etc.  I'm sure the phone has a lot of wonderful features, but good luck guessing as to what they are, or how to take advantage of them, without any type of insert or manual to read.I've gone through this problem before, and it seems that the more expensive the item is, such as a computer or television, the less assistance is provided at the time of purchase in terms of its usage and functionality.  Enough is enough!  To not even include a wall adapter to charge the phone is the height of ridiculousness and absolute cheapness on Google's part.  You just spend $1,000 and their response is to thumb your nose at you, with the gall and assumption that you can just figure everything out on your own.  Google touts all these wonderful features such as a Telephoto Lens and a Super Actual Display (whatever the heck that means), in addition to Artificial Intelligence and then leaves you high and dry as to how to use those features.  Granted, most people can probably figure a lot of it out on their own, but this smartphone is considered by critics to be among the Top 3 phones of the year, which means it has stats and capabilities that far exceed the typical throwaway burner phone.So, help us out a little, will you?  I just spent $1,000.  Why did I spend this much money, to just throw a product at me and then ask me to just figure everything out on my own, or do the work that you should have done for me?  Shame on you, Google!"
5.0,It was easy to set up.  So far everything functions well with no glitches. Battery life is very good.  I get improved calling and texting than my 3XL.  Camera is great.  Would recommend to Android users.
5.0,"I love my new phone! I previously had the Pixel 7 which was my first Google phone and from there on I was thrilled with their operating system, the camera and the editing tools it offers is amazing!Although I am satisfied with the phone not all that glitters is gold. Some negative points of this phone are that, it overheats in certain situations, therefore, its performance drops a bit, connectivity is weak and some applications are not 100% optimized. However, every month Google releases an update for the phone in which it fixes the issues and optimizes the phone.Positive points:- Excellent sound quality.- Amazing screen.- Good battery performance.- Haptic vibration is spectacular.- Incredible camera.- AI brings great value to the phone with several interesting features without the need to download third party apps."
3.0,"This post is about disappointment. Below, I will describe all the problems I faced in a month (a little more) of using the Google Pixel 8 PRO with 256 gigabytes.I'll try my best not to be bitter, but I'm not sure if I'll succeed because I expected something completely different from a $1050 phone.I bought the US version on Amazon. As a pre-order gift with the phone, they offered the Google Pixel Watch 2. In total, all this pleasure cost me $1050. I wasn't particularly interested in the watch and planned to sell them, thereby reducing the overall cost of the phone. In fact, currently on ""Black Friday,"" the phone on the official website costs $859. So, there was no gift in the form of the watch, and I paid for the phone + watch.I consider $350 for the Google Pixel Watch 2 an absurd price because there are many cool watches on the market cheaper.Let's start with the most important: Calls. In ""vibration"" mode, there is no audible notification in TWS headphones. The call volume in the headphones is tied to the ""ring volume"" in the ""sound and vibration"" section. Before switching to the Google Pixel 8 Pro, I always used the vibrate mode, and I could hear all incoming calls in the headphones. For people who talk a lot on the phone, this will be a very unpleasant moment. This problem extends to all non-Google TWS headsets. Next, take Pixel Buds Pro, connect them to the phone, and encounter the following problem: the audio notifications during incoming calls work only the first 3-4 times, then disappear. You need to disconnect the headset and reconnect it.The side buttons are not tactile.Weak processor. In synthetic tests, the processor delivers 1K. I consider this a very low indicator for a phone that positions itself as a flagship. Currently, it doesn't feel noticeable, but the fact remains. There are Chinese brands that have Snapdragon 8 Gen 3. There, the performance is approximately twice as much. If you are taking a phone for a long time, such a performance indicator is not great.Accessories. No charger and SIM ejector tool. SIM ejector tool, seriously. I opened the SIM card slot with a needle and a door frame catch. I just have no words, only emotions.Battery life. The phone is new and lasts for now. My Xiaomi, which I used for 3 years, held up about the same. If you look at reviews comparing battery life with other phones, it's all sad there.Charging time. My previous Xiaomi phone, bought in 2018, had a 38W charger. Besides being included in the package, it also charged faster.Raw operating system. Approximately 2-3 times a week, I reboot the phone. The notification shade doesn't come down, the button doesn't respond, black screen during incoming calls, and there are just tons of such bugs. To understand how tragic everything is, you need a month with this phone.Rattling. If you shake the phone, you can hear the optics (lens) hitting the phone's body. And this problem is not only on my phone. A friend has the same issue.Speaker sound. It's not bad, but on the iPhone, it's better. More midrange and low frequencies.Wi-Fi problems. Doesn't always want to connect to the access point. No matter what Wi-Fi standard it operates on or the authentication method on the access point. It might disconnect from the access point, might say the password is incorrect. A friend has the same issue. This problem was detected on Mikrotik access points.Well, there are a bunch of downsides, but now I can't remember them.Well, and I want to highlight a couple of positives so it's not all that tragic.Camera. Beautiful photos, very good in night mode. Magic erase is a cool thing. It doesn't always work 100%, but sometimes it really surprises with what AI can do.Conclusion: Before switching to the Google Pixel 8 Pro, I had the Xiaomi Mi 10 Lite 5G. I bought it for $260. For that money, I got an excellent phone that worked flawlessly for 3 years. MIUI shell, in my opinion, is much better than this Android on the Pixel.I'll probably sell the phone. Even if all the software problems are fixed, the impression of the phone is not very good anymore, and I don't want to use it."
4.0,"I upgraded from the pixel 7, first month i had great experience, i didnt even switch screen resolution to Full - Highest mode, because i was worried it would effect already a hot phone even getting hotter, so my experience is with 1080p, so phone is super toasty like all the pixels of course, it has terrible LTE/5G modem (on wifi it works noticably cooler and longer), it drains SO MUCH BATTERY, that im charging my phone 2 times a day,( i use 4G 24hr/7 , because i have unlimited of it, so it's easier rather then switching to wifi back and forth) startng off with 100% 7:00, second cycle is at around 12-1 when it gets down to 20% and then the last at midnight or before the sleep, depends what i plan to do, but if i have to go out of course i should charge it with super slow charging brick, which wasn't even included in the box. so to make it short, i still love the phone especially after my problem with  hating on the Pixel overprocessed photos got solved with the new manual mode+raw, only stuff to improve is efficiency, makephone cooler(bc when it gets hot it's making experience super unpleasant, its like scrolling through the menu with a 2 y.o. samsung flagship that is having micro lags everywhere, lol ) with a great battery, plus would love to see higher wattage charging support such as 50w+ , and also if you love to play some graphically intensive games, this thing handles ok, but not in the terms of ""very well"" .Now the good part i really loved after switching from the 7 is the MUCH brighter screen , better ultrawide and a telephoto lens, which is pretty good! for me this  things were such a deal breakers that i decided to upgrade from it.There is no perfect phone 🤷🏻‍♂️"
